time,value
2003-01-01,
2003-01-02,
2003-01-03,
2003-01-04,
2003-01-05,
2003-01-06,
2003-01-07,
2003-01-08,
2003-01-09,
2003-01-10,
2003-01-11,
2003-01-12,
2003-01-13,
2003-01-14,
2003-01-15,
2003-01-16,
2003-01-17,
2003-01-18,
2003-01-19,
2003-01-20,
2003-01-21,
2003-01-22,
2003-01-23,
2003-01-24,
2003-01-25,
2003-01-26,
2003-01-27,
2003-01-28,
2003-01-29,
2003-01-30,7.894698443258042
2003-01-31,8.01050001766126
2003-02-01,8.389274655672954
2003-02-02,8.458985391887207
2003-02-03,8.13442947786803
2003-02-04,8.142408406540568
2003-02-05,8.70663954741477
2003-02-06,9.126607669627727
2003-02-07,9.723378301524042
2003-02-08,10.044961066931243
2003-02-09,10.292771504371705
2003-02-10,10.458233547147868
2003-02-11,10.340922234927058
2003-02-12,10.288859688889186
2003-02-13,10.950193183573225
2003-02-14,11.144995976310547
2003-02-15,11.367243253778302
2003-02-16,11.257365185750517
2003-02-17,11.766049720302028
2003-02-18,11.78668802198071
2003-02-19,12.232184243506484
2003-02-20,12.843762086211209
2003-02-21,13.131270567427759
2003-02-22,13.230579911151457
2003-02-23,13.482492245215932
2003-02-24,13.420886863482382
2003-02-25,14.052368786275633
2003-02-26,14.369764571965597
2003-02-27,14.761470080685156
2003-02-28,14.706467313508028
2003-03-01,14.703308186142975
2003-03-02,14.86353450698307
2003-03-03,15.034574195052636
2003-03-04,15.3368001988444
2003-03-05,15.664729429771509
2003-03-06,16.033451861571134
2003-03-07,16.217184980601537
2003-03-08,16.01271452989349
2003-03-09,16.157184492841786
2003-03-10,16.333654207755266
2003-03-11,16.65116088325109
2003-03-12,17.201173450755384
2003-03-13,17.70829328435775
2003-03-14,18.426681637350733
2003-03-15,18.13495872740299
2003-03-16,18.521214431811707
2003-03-17,18.709341465812315
2003-03-18,18.997198738880734
2003-03-19,18.990224018826765
2003-03-20,19.42120588721251
2003-03-21,19.67474302116755
2003-03-22,19.83326494343966
2003-03-23,20.117093629209275
2003-03-24,20.47267598064966
2003-03-25,20.600867316852604
2003-03-26,21.03564916237884
2003-03-27,21.456829972894948
2003-03-28,21.8133040205959
2003-03-29,21.898476157173796
2003-03-30,21.985751107224612
2003-03-31,22.376373896860787
2003-04-01,22.570059537139
2003-04-02,22.976884193472248
2003-04-03,23.28460640017449
2003-04-04,23.86688121481474
2003-04-05,24.02277219772686
2003-04-06,24.327824103610684
2003-04-07,24.715839251867877
2003-04-08,25.045140867883156
2003-04-09,25.32050167943984
2003-04-10,25.476025955332467
2003-04-11,25.75973157976022
2003-04-12,25.599138006799887
2003-04-13,25.277179197005303
2003-04-14,25.71838976299916
2003-04-15,25.523798098985875
2003-04-16,26.023997614597008
2003-04-17,26.15646123392186
2003-04-18,26.178766821625917
2003-04-19,26.595729516945486
2003-04-20,26.87181155623782
2003-04-21,27.410101790608206
2003-04-22,27.437965064595645
2003-04-23,27.23797367407411
2003-04-24,27.82768809894559
2003-04-25,27.54449320767956
2003-04-26,27.365966918092514
2003-04-27,27.325304767834574
2003-04-28,27.321613138774204
2003-04-29,27.588823078144898
2003-04-30,27.547455804185695
2003-05-01,27.65235404621128
2003-05-02,27.234658816373955
2003-05-03,27.213271689667295
2003-05-04,27.229548786751188
2003-05-05,27.006774666120602
2003-05-06,26.81088095474452
2003-05-07,26.677870918325628
2003-05-08,26.624193645326383
2003-05-09,26.645374848421895
2003-05-10,26.571134821422426
2003-05-11,26.04840723041144
2003-05-12,26.27700122776098
2003-05-13,26.285136685614436
2003-05-14,26.032379778899863
2003-05-15,26.020202334508255
2003-05-16,25.702099285371094
2003-05-17,25.75509569970983
2003-05-18,25.72783244439067
2003-05-19,25.35118752636236
2003-05-20,24.795121779240944
2003-05-21,24.103255904194842
2003-05-22,23.888545914913834
2003-05-23,23.918113383954154
2003-05-24,23.559102414633262
2003-05-25,23.849758385124325
2003-05-26,23.71759121944204
2003-05-27,23.24716796304625
2003-05-28,23.294252031305483
2003-05-29,22.803222909954417
2003-05-30,22.398848468840008
2003-05-31,22.14668453656059
2003-06-01,22.433181197812228
2003-06-02,22.072884183042074
2003-06-03,21.523515829732
2003-06-04,21.42827738017188
2003-06-05,21.144092926234382
2003-06-06,21.201969589965152
2003-06-07,20.507547270515474
2003-06-08,19.99430607161636
2003-06-09,19.639832727709695
2003-06-10,19.467987432760385
2003-06-11,19.47905639709809
2003-06-12,19.525633135957094
2003-06-13,19.30754971394561
2003-06-14,18.978676854936904
2003-06-15,18.77290400631244
2003-06-16,18.273274181002215
2003-06-17,17.810718740224523
2003-06-18,17.700018583577293
2003-06-19,17.68950947186394
2003-06-20,17.843302269770877
2003-06-21,17.572337977781977
2003-06-22,17.433974106538027
2003-06-23,16.963796094742797
2003-06-24,16.136043250947452
2003-06-25,15.831780526656116
2003-06-26,15.587400484429006
2003-06-27,15.02161782240494
2003-06-28,14.898347145794519
2003-06-29,14.709641693326263
2003-06-30,14.391679793241543
2003-07-01,13.604936851212859
2003-07-02,13.34817173771908
2003-07-03,12.840226527134948
2003-07-04,12.684323918784747
2003-07-05,12.250076767243673
2003-07-06,11.59922087685201
2003-07-07,11.507781122995757
2003-07-08,11.294638954252198
2003-07-09,11.342747232766976
2003-07-10,10.927441088832445
2003-07-11,10.36682096732974
2003-07-12,9.917892840406388
2003-07-13,9.42397069959362
2003-07-14,9.43037147000936
2003-07-15,8.975699456604895
2003-07-16,8.985478237093904
2003-07-17,9.094534357753192
2003-07-18,8.971412296110318
2003-07-19,8.855787649750715
2003-07-20,8.35542707732967
2003-07-21,7.977358012765267
2003-07-22,7.733181492470966
2003-07-23,7.666752190410281
2003-07-24,7.662274660965887
2003-07-25,6.996347499771137
2003-07-26,6.844163928223204
2003-07-27,6.554957294900433
2003-07-28,6.397410960200209
2003-07-29,6.099120021953039
2003-07-30,6.031998235177083
2003-07-31,6.037509882352996
2003-08-01,6.0007165015200785
2003-08-02,6.019925994071792
2003-08-03,5.4862857700634295
2003-08-04,5.414617248034218
2003-08-05,5.3272949891871715
2003-08-06,5.115126270793405
2003-08-07,5.350249944257372
2003-08-08,4.823422517307313
2003-08-09,4.619125939339223
2003-08-10,4.2587655908105155
2003-08-11,3.9322115579775607
2003-08-12,3.953750662564361
2003-08-13,3.3588847661329826
2003-08-14,3.149792882195945
2003-08-15,2.8017357481653176
2003-08-16,2.4604778919424044
2003-08-17,1.7605758383236392
2003-08-18,1.261338760485433
2003-08-19,0.8517644531117774
2003-08-20,0.5788330498805775
2003-08-21,0.07770933536664408
2003-08-22,-0.18620845111506704
